ts,open,high,low,close,volume
1700000000,80.0000,81.2659,79.6000,80.8659,1005
1700003600,80.8659,82.1272,80.4659,81.7272,1010
1700007200,81.7272,82.9792,81.3272,82.5792,1015
1700010800,82.5792,83.8176,82.1792,83.4176,1020
1700014400,83.4176,84.6377,83.0176,84.2377,1025
1700018000,84.2377,85.4354,83.8377,85.0354,1030
1700021600,85.0354,86.2065,84.6354,85.8065,1035
1700025200,85.8065,86.9470,85.4065,86.5470,1040
1700028800,86.5470,87.6531,86.1470,87.2531,1045
1700032400,87.2531,88.3214,86.8531,87.9214,1050
1700036000,87.9214,88.9486,87.5214,88.5486,1055
1700039600,88.5486,89.5318,88.1486,89.1318,1060
1700043200,89.1318,90.0682,88.7318,89.6682,1065
1700046800,89.6682,90.5556,89.2682,90.1556,1070
1700050400,90.1556,90.9919,89.7556,90.5919,1075
1700054000,90.5919,91.3755,90.1919,90.9755,1080
1700057600,90.9755,91.7052,90.5755,91.3052,1085
1700061200,91.3052,91.9800,90.9052,91.5800,1090
1700064800,91.5800,92.1994,91.1800,91.7994,1095
1700068400,91.7994,92.3633,91.3994,91.9633,1100
1700072000,91.9633,92.4719,91.5633,92.0719,1105
1700075600,92.0719,92.5259,91.6719,92.1259,1110
1700079200,92.1259,92.5262,91.7259,92.1262,1115
1700082800,92.1262,92.5262,91.6744,92.0744,1120
1700086400,92.0744,92.4744,91.5720,91.9720,1125
1700090000,91.9720,92.3720,91.4213,91.8213,1130
1700093600,91.8213,92.2213,91.2246,91.6246,1135
1700097200,91.6246,92.0246,90.9847,91.3847,1140
1700100800,91.3847,91.7847,90.7046,91.1046,1145
1700104400,91.1046,91.5046,90.3878,90.7878,1150
1700108000,90.7878,91.1878,90.0377,90.4377,1155
1700111600,90.4377,90.8377,89.6582,90.0582,1160
1700115200,90.0582,90.4582,89.2533,89.6533,1165
1700118800,89.6533,90.0533,88.8272,89.2272,1170
1700122400,89.2272,89.6272,88.3843,88.7843,1175
1700126000,88.7843,89.1843,87.9290,88.3290,1180
1700129600,88.3290,88.7290,87.4658,87.8658,1185
1700133200,87.8658,88.2658,86.9994,87.3994,1190
1700136800,87.3994,87.7994,86.5344,86.9344,1195
1700140400,86.9344,87.3344,86.0755,86.4755,1200
1700144000,86.4755,86.8755,85.6271,86.0271,1205
1700147600,86.0271,86.4271,85.1937,85.5937,1210
1700151200,85.5937,85.9937,84.7799,85.1799,1215
1700154800,85.1799,85.5799,84.3898,84.7898,1220
1700158400,84.7898,85.1898,84.0275,84.4275,1225
1700162000,84.4275,84.8275,83.6970,84.0970,1230
1700165600,84.0970,84.4970,83.4018,83.8018,1235
1700169200,83.8018,84.2018,83.1456,83.5456,1240
